industria;nps;razones
banca;NEUTRAL;CLIENTE CALIFICA CON OCHO PERO MANIFIETA QUE TUVO INCONVENIENTES NO PODIA INGRESAR AL SISTEMA NO PODIA RETIRAR TODO EL MONTO EN UNA SOLA TRANSACCION EN EL CAJERO LO HICE EN TRES RETIROS LUEGO LE SALIA ERROR Y EN LA TIENDA EN EL AGENTE RETIRO LO FALTANTE E
banca;PROMOTOR;PORQUE  NO HA TENIDO PROBLEMA CON EL BIM
banca;PROMOTOR;PORQUE ES RAPIDO FACIL
banca;NEUTRAL;PORQUE TUVO DIFICULTADES PORQUE CUANDO ME ACTIVARON YA HABIA CERRADO LOS AGENTES A LA UNA Y TREINTA DE LA TARDE Y CLIENTE TUVO QUE IR AL BANCO DE LA NACION EN EL CAJERO NO LE DIERON EL MONTO DE NUEVE CON NOVENTAYNUEVE CENTIMOS EN LA FINANCIERA SI ME DAN E
banca;PROMOTOR;PORQUE ES CONFIABLE ES CORRECTO
banca;PROMOTOR;PORQUE ES MUY SEGURO ES MAS RAPIDO Y CONFIABLE
banca;PROMOTOR;PORQUE ES MAS ACCESIBLE Y FACIL
banca;NEUTRAL;PORQUE ES BUENO DESEMBOLSAR POR BIM ES FACIL PERO EL APLICATIVO HAY QUE ESTAR CONFIGURANDOLO AHORA HAY QUE INGRESAR SEIS NUMEROS QUE NO SE PUEDEN REPETIR NO ME ACEPTABA LA CLAVE TAMPOCO LAS MAYUSCULAS Y AVECES EL AGENTE NO TIENE MUCHA PACIENCIA PARA ESPER
banca;PROMOTOR;PORQUE ES MAS SEGURO
banca;DETRACTOR;ES UN PROCESO DIFICIL PORQUE NO ENTIENDO LA APLICACION
banca;DETRACTOR;TENGO PROBLEMAS PARA RETIRAR HAY AGENTES QUE NO CUENTAN CON BIM EL CAJERO SOLO DA NOVECIENTOS SOLES Y EL MONTO COMPLETO NO LO PUEDO RETIRAR Y HACE POCO ME HICIERON DEPOSITO PERO NO PUEDO RETIRAR. HACE UNA SEMANA ESTA CON EL INCONVENIENTE DE BIM PERO NO ME
banca;PROMOTOR;PORQUE NUNCA HA TENIDO PROBLEMAS CON EL BIM UNQUE A VECES CUANDO HAY CAMBIO DE EQUIPO NO SE PUEDE INGRESAR
banca;PROMOTOR;PORQUE TODO ESTA BIEN CON BIM
banca;PROMOTOR;PORQUE ES UN PROCESO FACIL EVITA HACER COLA
banca;NEUTRAL;PORQUE NO HUBO NINGUN PROBLEMA PERO MI HERMANA TUVO PROBLEMAS PORQUE CAMBIO DE TELEFONO Y TARDO DIAS
banca;PROMOTOR;PORQUE AHORRA TIEMPO Y PUEDO HACERLO RAPIDAMENTE
banca;PROMOTOR;PORQUE  ES MAS RAPIDO Y EN GENERAL TODO BIEN CON EL BIM USUARIO PIENSA QUE SERIA MEJOR QUE SIEMPRE SEA ASI ES MEJOR QUE IR AL BANCO
banca;PROMOTOR;PORQUE
banca;DETRACTOR;NO PUEDO ENTRAR A BIM MENSAJE DE ERROR VOLVER A CONFIGURAR NO ME CONTESTARON AL NUMERO DE SOPORTE NI TAMPOCO CONTESTARON POR WHATSAPP ESTUVE TRES SEMANAS ASI
banca;PROMOTOR;PORQUE SIEMPRE HE PODIDO HACERLO SIN PROBLEMAS SOLO UNA VEZ TUVO PROBLEMAS PORQUE CAMBIO DE EQUIPO MOVIL
banca;PROMOTOR;PORQUE NO HA TENIDO PROBLEMA CON BIM
banca;PROMOTOR;PORQUE ES MAS PRACTICO LO HAGO EN MENOS TIEMPO EVITO IR A LA FINANCIERA, Y ES MAS SEGURO
banca;DETRACTOR;SE OLVIDO LA CONTRASEÑA Y LE PARECIO MUY TEDIOSO ENVIAR SUS DATOS POR WHATSAPP PARA RESOLVER EL PROBLEMA
banca;DETRACTOR;PORQUE EN UN SOLO AGENTE NO SE PUEDE RETIRAR TODO EL MONTO DEBO  DE HACER MAS DE DOS OPERACIONES HICE UN DESEMBOLSO DE MIL TRECIENTOS EN DOS OPERACIONES EN DISTINTOS AGENTES QUISIERA QUE FUERA UNO SOLO PARA QUE SEA MAS FACIL
banca;PROMOTOR;PORQUE HA SIDO FACIL EL PROCESO Y BUENA ATENCION PERO QUISIERA QUE NOS DEN FACILIDADES A LOS QUE TENEMOS NEGOCIOS QUE NOS PUEDAN BRINDAR ESA OPCION
banca;NEUTRAL;PORQUE A VECES NO HAY SISTEMA PARA RECARGAR EN AGENTE, RECARGO EN AGENCIA, EN ALGUNA OCASION TUVE PROBLEMA PERO LA FINANCIERA ME SOLUCIONO, DESPUES DE ESO, TODO BIEN
banca;PROMOTOR;PORQUE ES MUCHO MAS RAPIDO PARA LOS PAGOS
banca;PROMOTOR;EVITO LA COLA EN LA FINANCIERA, ES MAS SENCILLO, EVITO TRASLADARME DE UN LUGAR A OTRO
banca;PROMOTOR;PORQUE ES MAS RAPIDO, EVITO IR A LA FINANCIERA, ES MAS SEGURO
banca;PROMOTOR;PORQUE ME CONVIENE, PORQUE NO VOY A LA FINANCIERA, SIN EMBARGO, EN ESTE MOMENTO NO PUEDO ACCEDER A BIM, ME COMUNIQUE CON LA FINANCIERA  POR WHATASPP, HACE UNA SEMANA QUE NO ME BRINDEN LA SOLUCION
banca;PROMOTOR;PORQUE ES MAS FACIL, LA APLICACION ES CONFIABLE, TUVE PROBLEMAS ALGUNA VEZ PORQUE EL DINERO NO LLEGO, PERO NO ME DIERON SOLUCION, PASO HACE CINCO MESES, LLAME AL CALL CENTER DE BIM PERO NO ME DIERON SOLUCION
banca;PROMOTOR;PORQUE PARA MI ES MAS EFECTIVO, ES MAS SEGURO, PORQUE NO CARGO EL DINERO EN FISICO YA SEA AL AGENTE Y A LA AGENCIA, ES MAS RAPIDO. ES MUY SEGURO
banca;PROMOTOR;PORQUE NO HE TENIDO PROBLEMAS CON EL BIM
banca;NEUTRAL;PORQUE A VECES COBRAN COMISION EN LOS PAGOS, ES UN SOL O DEPENDIENDO DE LA TRANSACCION, PERO DE AHI EN MAS TODO BIEN CON LOS PAGOS CON EL BIM
banca;NEUTRAL;PORQUE A VECES NO HAY SOPORTE, ES RAPIDO PARA HACER EL PAGO, ES MAS COMODO, PERO A VECES EL AGENTE NO TIENE EL SISTEMA PARA DEPOSITAR EN EL BIM Y ASI PODER PAGAR, SIN EMBARGO, ES SEGURO PORQUE NO ME TRASLADO A LA AGENCIA, CUANDO ME COMUNICO CON EL CALL CENTER, DEMORAN EN RESPONDER EL WHATASAPP, DEMORAN EN RESPONDER LA LLAMADA, DEL WHATSAPP ME MANDAN A LLAMAR, CUANDO LLAMO ME MANDAN AL WHASTAPP, CUANDO LLAME LA LLAMADA SE DEMORA EN CONTESTAR, PERO SI ME DIERON SOLUCION, ME GUSTARIA QUE FUERA MAS RAPIDO.
banca;PROMOTOR;PORQUE ES MAS RAPIDO, EVITO LA COLA, ME CONVIENE PAGAR POR BIM, ES MAS SEGURO PORQUE NO CARGO DINERO EN EFECTIVO
banca;NEUTRAL;PORQUE NO HE TENIDO INCONVENIENTES, PERO ESCUCHE QUE ALGUNOS TUVIERON PROBLEMAS
banca;PROMOTOR;PORQUE ES MAS FACIL Y SEGURO, CADA INTEGRANTE PAGA DE MANERA DIRECTA Y NOS MANDA  PANTALLAZO POR WHATSAPP, SE AHORRA TIEMPO, RECIBI BUENA ATENCION DE PARTE DE CALL CENTER DE BIM
banca;PROMOTOR;PORQUE ES MAS SEGURO, MAS RAPIDO, MAS CONFIABLE Y MAS ACCESIBLE QUE IR A UN AGENTE
banca;PROMOTOR;PORQUE ES MAS PRACTICO QUE IR A LA AGENCIA
banca;PROMOTOR;PORQUE ES CONFIABLE, ES MAS  SEGURO PORQUE NO CARGO DINERO EN EFECTIVO HACIA LA AGENCIA.
banca;PROMOTOR;PORQUE LA TRANSACCION ES MAS RAPIDO Y SEGURO, NO TOMA MUCHO TIEMPO HACER UNA TRANSFERENCIA
banca;PROMOTOR;PORQUE PAGO MAS RAPIDO, AUNQUE LA ULTIMA VEZ PRESENTE INOCNVENIENTES, PAGUE CON DIFICULTAD, MAS ALLA DE ELLO, TODO BIEN CON EL BIM
banca;PROMOTOR;PORQUE ADEMAS DE PAGAR, EVITO PODER REUNIRME CO MI GRUPO CON DINERO EN EFECTIVO
banca;PROMOTOR;PORQUE ES BUENO, ME PARECE COMODO USAR BIM
banca;PROMOTOR;PORQUE ES UTIL, PUEDO PAGAR CREDITOS Y SERVICIOS, EVITO LA COLA
banca;PROMOTOR;PORQUE NO HE TENIDO PROBLEMAS CON PAGAR POR BIM
banca;PROMOTOR;PORQUE ES MAS FACIL, PORQUE ANTES LLEVABA DINERO EN EFECTIVO, AHORA ES FACTIBLE QUE PUEDAN PAGAR, ME PARECE BIEN NO SALIR DE CASA PARA PODER PAGAR, PUEDO PAGAR DESDE DONDE ESTE
banca;DETRACTOR;PORQUE NO PUDE HACER UNA TRANSFERENCIA , NO PUDE PAGAR A TIEMPO POR EL BIM, ME APARECIA MENSAJE DE ERROR: HAS EXCEDIDO EL LIMITE TRANSACCIONAL, ME COMUNIQUE CON EL ASESOR, EL ASESOR ME INDICO DE QUE EL PROBLEMA ERA DEL BIM, SUGIERO QUE SEAN EFICIENTES LA GENTE DE CALL CENTER, QUE NO PASE DE UN DIA, QUE SE SOLUCIONE INMEDIATAMENTE PORQUE  DESPUES DE DOS A TRES DIAS ME SOLUCIONARON EL PROBLEMA
banca;PROMOTOR;PORQUE ES MAS SEGURO PORQUE NO CARGO EN DINERO EN FISICO, PORQUE ES UN MONTO FIJO EL QUE HAY QUE PAGAR Y CADA INTEGRANTE PUEDE PAGAR DIRECTO, NOS PERMITE TENER MAS CONTROL
banca;PROMOTOR;PORQUE A VECES EL SISTEMA SE SATURA, A VECES NO SE PUEDE ABRIR, APARECE UN MENSAJE: SE PRODUJO UN ERROR DE SISTEMA. TENGO QUE INTENTAR EN TREINTA O CUARENTA MINUTOS NUEVAMENTE PARA PODER INGRESAR, PERO ESTOY SATISFECHA PORQUE ADEMAS PUEDO RECARGAR Y PAGAR OTROS SERVICIOS
banca;PROMOTOR;PORQUE ES BUENO EL BIM, ME SACA DE APUROS, SE HACE EL PAGO, ES MAS FACIL
banca;DETRACTOR;PORQUE HE TENIDO PROBLEMAS CON EL BIM, NO FIGURABA EL VOUCHER DEL SOCIO QUE PAGABA, DEPOSITARON MUCHAS PERSONAS EN EL MISMO AGENTE, PERO HUBO DOS VOUCHERS QUE NO SE RECARGO, EL ASESOR NOS EXPLICO QUE EL DINERO SE CONGELO , DESPUES DE TRES O CUATRO SEMANAS PUDIERON RESOLVERLO A TRAVES DE RECLAMOS
banca;PROMOTOR;PORQUE ES RAPIDO, PUEDO PAGAR INCLUSO SERVICIOS Y HACER RECARGAS
banca;PROMOTOR;PORQUE SIEMPRE HA PAGADO POR BIM Y NO HE TENIDO NINGUN INCONVENIENTE, ES MAS SEGURO
banca;PROMOTOR;PORQUE ES MAS FACIL DE ACCEDER, INGRESO, PAGO, EVITO IR A LA AGENCIA A HACER COLA, ES MAS SEGURO
banca;NEUTRAL;PORQUE HAN ACTUALIZADO LA APLICACION, Y NO ES COMPATIBLE CON TODOS LOS MOVILES, EN MI CELULAR SAMSUNG S20C NO ES COMPATIBLE, LUEGO DE ELLO EL BIM AYUDA. CUANDO ME COMUNIQUE A CALL CENTER DE BIM ME EXPLICARON QUE LA APLICACION AUN SE ESTA ACTUALIZANDO, ME INFORMARON BIEN
banca;PROMOTOR;PORQUE ES MAS PRACTICO, ES MAS FACIL
banca;PROMOTOR;PORQUE ES MAS FACIL, DEPOSITAN LOS INTEGRANTES DEL GRUPO, EVITO IR A LA AGENCIA, ES SEGURO PORQUE NO TENEMOS EL DINERO EN FISICO
banca;PROMOTOR;PORQUE SE ME HACE FACIL PAGAR, CADA PERSONA PUEDE PAGAR DIRECTAMENTE Y SE RESPONSABILIZA, TODO BIEN CON EL BIM
banca;PROMOTOR;PORQUE EVITO LA COLA EN LA AGENCIA, NOS PERMITE RECOLECTAR EL DINERO FUERA DE HORARIO DE OFICINA, EN LA NOCHE Y PODER PAGAR UN DIA ANTES
banca;PROMOTOR;PORQUE ES MAS FACTIBLE, PUEDO PAGAR DESDE CASA, AUNQUE AHORA YA NO LLEGAN LOS MENSAJES DE CONFIRMACION DE PAGO CUANDO PAGAN LAS INTEGRANTES DEL GRUPO, TENGO QUE REVISAR
banca;NEUTRAL;PORQUE A VECES HAGO TRANSFERENCIA A MI BIM, PERO NO ME PERMITE  TRANSFERIR MAS DE NOVECIENTOS SOLES, PERO CON LOS PAGOS POR BIM, TODO ESTA BIEN
banca;PROMOTOR;PORQUE ES MAS COMODO, ES MAS FACIL DE HACERLO, ES RAPIDO, A VECES UNO NO TIENE TIEMPO DE IR A LA FINANCIERA Y DESDE DONDE ME ENCUENTRE PUEDO PAGAR. DEFINITIVAMENTE SI LO RECOMENDARIA
banca;PROMOTOR;PORQUE ES RAPIDO Y FACIL, EVITO LA COLA, EVITO SALIR DE CASA, LA APLICACION ES FACIL DE USAR
banca;PROMOTOR;PORQUE ES MAS FACIL, EVITO IR AL BANCO
banca;NEUTRAL;HE PRESENTADO INCONVENIENTES CON EL PAGO, ME COMUNIQUE POR WHATSAPP, ME PIDIERON FOTOS PARA VALIDAR PERO LO DEJE AHI PORQUE TENIA COSAS QUE HACER, EL ULTIMO PAGO LE DI DINERO A LA TESORERA DEL GRUPO PARA QUE PUEDA PAGAR
banca;PROMOTOR;PORQUE ES FACIL HACER RECARGA A MI NUMERO Y DE AHI PODER PAGAR, EVITO IR A LA FINANCIERA, AHORRO TIEMPO
banca;PROMOTOR;PORQUE ES MAS FACIL, MAS RAPIDO, AHORRO TIEMPO, EVITO TRASLADARME A LA AGENCIA
banca;PROMOTOR;PORQUE ES MAS PRACTICO HACER PAGOS POR BIM, EVITO IR A LA AGENCIA, EVITO LA COLA Y LOS CONTAGIOS
banca;PROMOTOR;PORQUE TODOS LOS PAGOS SE HAN REALIZADO CORRECTAMENTE
banca;PROMOTOR;PORQUE ES MAS FACIL , SEGURO, NO VOY A LA AGENCIA CON DINERO EN EFECTIVO, ES MUY BUENO EL BIM, YO LO RECOMENDARIA
banca;PROMOTOR;PORQUE ME AYUDA BASTANTE, PAGO UN DIA ANTES, EVITO REUNIRME, ES UNA BUENA EXPERIENCIA EL BIM
banca;PROMOTOR;PORQUE EL BIM ES MENOS RIESGOSO, ES MAS FACIL, MAS PRACTICO, AHORRO TIEMPO, DESDE CUALQUIER LADO PUEDO PAGAR, LLAME A CALL CENTER DE BIM, NO ME DIERON SOLUCION, TUVE QUE HACER EL PAGO NUEVAMENTE, ME DIERON UN PLAZO PARA PODER SOLUCIONAR DE CATORCE DIAS Y SE SOLUCIONO EN DIECIOCHO DIAS Y FUE PORQUE ESTUVE INSISTIENDO EN LLAMAR
banca;NEUTRAL;PORQUE A VECES NO HAY SISTEMA PARA PAGAR.
banca;PROMOTOR;PORQUE ES FACIL, ES RAPIDO, ME SIENTO TRANQUILA PORQUE EVITO LA COLA
banca;PROMOTOR;NO HE TENIDO PROBLEMA CON PAGAR POR BIM, EN DESEMBOLSO SI TUVE INCONVENIENTES TUVE QUE ACERCARME A LA AGENCIA
banca;PROMOTOR;PORQUE HE VENIDO PAGANDO SIN INCONVENIENTES, ES MAS FACIL Y MAS SEGURO PORQUE NO CARGO EL DINERO EN EFECTIVO
banca;PROMOTOR;EN OTRAS ENTIDADES COBRAN COMISION, EN COMPARTAMOS NO COBRAN
banca;DETRACTOR;PORQUE A VECES NO ES TAN SEGURO, DEBO IR A LA MISMA FINANCIERA O A MINIMARKET A RECARGAR
banca;PROMOTOR;PORQUE ES MAS FACIL, ES MAS PRACTICO
banca;PROMOTOR;PORQUE ES RAPIDO
banca;PROMOTOR;PORQUE ES SATISFACTORIO, NO HE TENIDO PROBLEMA CON PAGAR POR BIM
banca;DETRACTOR;PORQUE HE TENIDO PROBLEMAS CON BIM, HE QUERIDO PAGAR POR BIM, ME PONEN UN LIMITE, NO PUDE PAGAR, TUVE QUE LLAMAR, ME EXPLICARON, ME ASESORARON, EL PROBLEMA SE SOLUCIONO
banca;PROMOTOR;PORQUE AHORRO TIEMPO, EVITO IR A LA AGENCIA, LO HAGO RAPIDO, ES DE GRAN AYUDA
banca;PROMOTOR;PORQUE ES MAS RAPIDO, EVITO SALIR CON DINERO EN EFECTIVO, ES MAS SEGURO
banca;DETRACTOR;PORQUE A VECES MUESTRA DIFICULTADES, EN TEMA DE PAGOS ES MAS SEGURO QUE TENER DINERO EN EFECTIVO, PERO A VECES EL APLICATIVO SE PONE LENTO
banca;PROMOTOR;PORQUE SIEMPRE HE PAGADO ASI Y NO HE TENIDO PROBLEMA, CUANDO LLAME A CALL CENTER Y SI ME DIERON SOLUCION
banca;DETRACTOR;PORQUE HUBO INCONVENIENTES, HUBO ERROR DE SISTEMA, SE HICIERON LOS PAGOS PERO NO SE REFLEJARON EN EL BANCO
banca;PROMOTOR;PORQUE TUVE PROBLEMA CON BIM, NO PASO UN PAGO DE UNA DE LAS INTEGRANTES, LO CUAL ME DIJERON QUE ERA UN ERROR DE SISTEMA, PERO TUVO QUE PASAR QUINCE DIAS PARA QUE SE SOLUCIONE, SOY LA TESORERA, ME CAUSO MALESTAR, NOS QUISIERON COBRAR MORA. CUANDO ME COMUNIQUE A BIM, TODO BIEN, ME RESPONDIERON Y ATENDIERON
banca;PROMOTOR;PORQUE SOY TESORERA Y TRABAJO BIEN CON EL BIM, EN EL CALL CENTER SE DEMORA APROXIMADAMENTE CINCO O DIEZ MINUTOS Y SE QUEDA EN SILENCIO, NO TE AVISAN, PERO UNA VEZ QUE LA LLAMADA ENTRO SI ME ATENDIERON BIEN
banca;PROMOTOR;PORQUE ES MAS SEGURO, MAS RAPIDO, MAS CONFIABLE, PUEDO HACERLO RAPIDO SIN INCONVENIENTES, HASTA AHORA NO ME HA FALLADO
banca;PROMOTOR;PORQUE LO VEO MAS SEGURO, MAS RAPIDO Y MAS FACIL
banca;PROMOTOR;PORQUE NO NECESITO IR A LA FINANCIERA, ANTES IBA CON DINERO EN EFECTIVO, CON BIM ES SEGURO Y SUPER COMODO, ADEMAS PUEDO PAGAR SERVICIO. SI LO RECOMENDARIA, EVITO LA COLA, LO PAGO EN MENOS DE DIEZ MINUTOS. ME COMUNIQUE A CALL CENTER DE BIM Y ME RESPONDIERON RAPIDO, NO ME PUEDO QUEJAR.
banca;PROMOTOR;PORQUE ES MAS SEGURO, PUEDO LLEVAR EL CONTROL DE LOS PAGOS. NO HE TENIDO PROBLEMA CON BIM, CUANDO LLAME AL BIM CENTER ME SOLUCIONARON AL INSTANTE MI PROBLEMA DE CLAVE PORQUE CAMBIE DE EQUIPO
banca;NEUTRAL;PORQUE TUVE INCONVENIENTES, HICE RECARGA, SALIO VOUCHER PERO NO LLEGABA AL BIM, ME TUVIERON UNA SEMANA PARA RESOLVER ESE PROBLEMA, NO HABIA SISTEMA. CUANDO LLAMO A BIM CENTER SE DEMORA UNOS QUICE A VEINTE MINUTOS HASTA QUE ALGUIEN ME RESPONDA
banca;PROMOTOR;PORQUE ES MEJOR, SIEMPRE LO RECOMIENDO, ES MAS RAPIDO Y EFECTIVO
banca;PROMOTOR;TODO ESTA CONFORME CON EL BIM
banca;PROMOTOR;PORQUE ES MAS FACIL, LLAME A CALL CENTER DE BIM PARA CAMBIO DE CLAVE, POR WHATSAPP NO ME BRINDARON SOLUCION, ENTONCES LLAME A CALL CENTER DE BIM TUVE QUE INTENTAR VARIAS VECES, TODA UNA MAÑANA PARA QUE LA LLAMADA PUEDA INGRESAR, UNA VEZ QUE ME ATENDIERON POR LLAMADA, SE DEMORARON UNAS HORAS PARA SOLUCIONAR EL TEMA DE LA CLAVE
banca;PROMOTOR;PORQUE ES MUCHO MAS FACIL PAGAR POR BIM, QUE IR A LA FINANCIERA CON EL DINERO A LA MANO, ES MAS SEGURO
banca;PROMOTOR;PORQUE ES MAS SEGURO PORQUE EVITO IR A LA AGENCIA
banca;PROMOTOR;PORQUE ES MAS SEGURO, NO CARGO DINERO, TODO ES DIGITAL, ES UNA BUENA OPCION SIN SALIR DE CASA Y EL PAGO ES DIRECTO, CUANDO LLAME AL BIM CENTER ME SOLUCIONARON EL INCONVENIENTE DE MANERA RAPIDA
banca;PROMOTOR;PORQUE ES UN MEDIO  MAS RAPIDO PARA PODER PAGAR, EVITO LA COLA EN LA AGENCIA, EN LA APLICACION EL PROBLEMA NO SE PUEDE PEGAR EL CODIGO GRUPAL, ANTES PEGABAS EL NUMERO, AHORA HAY QUE DIGITAR EL CODIGO LO CUAL QUITA TIEMPO
banca;NEUTRAL;PORQUE ES MAS SEGURO POR BIM, PORQUE ANTES NOS REUNIAMOS EN UNA CASA PARAHACER LOS PAGOS, CON BIM ES DIRECTO AL BANCO Y EVITO TENER DINERO EN EFECTIVO, EL BIM ME PERMITE VER QUIEN ESTA DEPOSITANDO DEL GRUPO Y ES MAS FACIL, CUANDO LLAME A BIM ME SOLUCIONARON AUNQUE DEMORARON UN POCO, ERA UN PROBLEMA CON MI CLAVE PERO SI ME LO SOLUCIONARON
banca;PROMOTOR;PORQUE ES MEJOR PAGAR POR BIM, EVITO IR A LA FINANCIERA
banca;PROMOTOR;PORQUE NO TENGO PROBLEMA CON EL BIM, TODO BIEN CON BIM
banca;PROMOTOR;PORQUE ES MUY FACIL, EVITO IR A LA AGENCIA, ES SEGURO, RAPIDO E INSTANTANEO EL PAGO
banca;PROMOTOR;PORQUE ES MAS COMODO, EVITAMOS REUNIRNOS E IR A LA AGENCIA, ES MAS FACIL PAGAR POR BIM, ES MAS SEGURO
banca;PROMOTOR;PORQUE ME FACILITA, EVITO HACER LA COLA EN LA AGENCIA, AHORRO DE TIEMPO
banca;PROMOTOR;PORQUE HEMOS TENIDO INCONVENIENTES PARA REALIZAR COBROS, DESEMBOLSOS, PERO NO PARA LOS PAGOS, TODO BIEN CON EL PAGO POR BIM
banca;NEUTRAL;PORQUE A VECES DEMORA EL SISTEMA , PERO ES RAPIDO PARA PAGAR, CONVIENE PAGAR POR BIM, ES DIFICIL ACERCARSE A LA AGENCIA
banca;PROMOTOR;PORQUE PUEDO PAGAR DIRECTO, ES MAS FACIL, TODO EL DINERO JUNTO DEL GRUPO LO PUEDE VER, ES MAS SEGURO
banca;PROMOTOR;PORQUE ES MAS RAPIDO, ES MAS ACCESIBLE, EVITO LA COLA
banca;PROMOTOR;PORQUE PUEDO PAGAR DIRECTO Y FUERA DE HORARIO, ES MAS SEGURO, PARA MI ES MEJOR
banca;PROMOTOR;PORQUE ES BUENA APLICACION, EVITO LA COLA, PUEDO PAGAR RAPIDO
banca;PROMOTOR;PORQUE ES MAS RAPIDO
banca;PROMOTOR;PORQUE ES MAS FACIL, CERCANO, AHORRO TIEMPO, PUEDO PAGAR RAPIDO
banca;PROMOTOR;PORQUE PARA MI ES MEJOR EVITAR  LA COLA, ES RAPIDO, ES DIRECTO, LO TENGO A LA MANO, PUEDO TENER DINERO Y ADEMAS COMPRAR DESDE AHI
banca;PROMOTOR;PORQUE ES MAS FACIL Y ACCESIBLE, EVITO IR A LA FINANCIERA
banca;PROMOTOR;PORQUE ES MAS RAPIDO QUE IR AL AGENTE , MAS RAPIDO QUE IR A LA FINANCIERA
banca;PROMOTOR;PORQUE ES MAS FACIL, EVITO IR A LA FINANCIERA, AHORRO TIEMPO
banca;PROMOTOR;PORQUE ES MAS SEGURO
banca;PROMOTOR;PORQUE ES RAPIDO PARA PAGAR
banca;NEUTRAL;PORQUE A VECES EL SISTEMA SE VA, SE SATURA, HAY QUE ESPERAR QUE VUELVA EL SISTEMA,  POR AQUI EN NEGRIITOS NO HAY LUGARES PARA RECARGAR EL BIM, TENGO QUE IR HASTA TALARA PARA RECARGAR
banca;PROMOTOR;PORQUE ES MAS FACIL, EVITO IR A LA FINANCIERA, ES MAS SEGURO
banca;PROMOTOR;PORQUE ES MAS FACIL POR BIM, EVITO LLEVAR DINERO EN FISICO A LA AGENCIA, AHORRO TIEMPO. CADA PERSONA DEL GRUPO PUEDE PAGAR, EVITAMOS REUNIRNOS, ANTES HABIA FALLAS EN EL SISTEMA PERO AHORA NO, AHORA HA MEJORADO BIM.  SIN EMBARGO, NO ME DIERON SOLUCION CUANDO LLAME AL CALL CENTER DE BIM, ESPERE COMO DIEZ MINUTOS PARA QUE LA LLAMADA ENTRE, Y ME MANDARON AL WHATSAPP, EN EL WHATSAPP ME RESPONDIERON DESPUES DE CUARENTA Y OCHO HORAS
banca;PROMOTOR;PORQUE ES MAS RAPIDO, MAS FACTIBLE, NO HE TENIDO PROBLEMAS CON EL BIM.
banca;PROMOTOR;PORQUE ES MAS RAPIDO, SENCILLO, SEGURO, TUVE UN PERCANCE CUANDO CAMBIE DE EQUIPO MOVIL, NO PODIA ACCEDER A BIM, ME RESPONDIERON DESPUES DE QUINCE DIAS VIA WHATSAPP, PASADOS ESOS QUINCE DIAS, ME COMUNIQUE AL CALL CENTER DE BIM Y SI ME DIERON SOLUCION.
banca;NEUTRAL;PORQUE TIENE DEFICIENCIAS EL BIM, NO PERMITIA ACCEDER, ME HA SUCEDIDO VARIAS VECES, HE SOLICITADO QUE AMPLIEN EL MONTO, PONEN LIMITES A LA HORA DE HACER EL PAGO. EL ANALISTA ME DIJO QUE ME COMUNICARA CON BIM, CUANDO LLAME AL CALL CENTER DE BIM, NO ME DIERON SOLUCION NO AMPLIARON EL MONTO, Y ME DIJERON QUE ME COMUNIQUE CON EL ANALISTA, ME PELOTEARON.
banca;PROMOTOR;PORQUE ANTERIORMENTE TUVE PROBLEMAS CON BIM, NO PODIA HACER EL PAGO, PERO ME BRINDARON SOPORTE Y AHORA SI ES RAPIDO, NO TENGO PROBLEMA, EVITO IR A LA FINANCIERA, ES MAS SEGURO. CLIENTE INDICA DE QUE RECIBIO BUENA ATENCION CUANDO LLAMO AL CALL CENTER DE BIM, SOLUCIONARON EL INCONVENIENTE DEL SALDO QUE QUEDABA PENDIENTE DE PAGO QUE EN UN INICIO NO SE PUDO COMPLETAR
banca;PROMOTOR;PORQUE ES SUPER RAPIDO, PRACTICO, NO NECESITO IR A LA FINANCIERA
banca;PROMOTOR;PORQUE SIEMPRE HE PAGADO DE MANERA NORMAL, NO HE TENIDO PROBLEMAS CON BIM
banca;PROMOTOR;PORQUE ES RAPIDO, LO PUEDO HACER EN CUALQUIER LUGAR, SE PUEDE VISUALIZAR QUIENES PAGAN DEL GRUPO
banca;DETRACTOR;PORQUE A VECES NO PUDE PAGAR A TIEMPO, SE PAGO TARDE, SE DEMORO EN COMPLETAR LA TRANSACCION CUANDO PAGUE Y SALIO COMO SI HUBIERA PAGADO FUERA DE PLAZO CUANDO NO FUE ASI , NO TENGO BUENA EXPERIENCIA CON BIM
banca;PROMOTOR;PORQUE ES MUCHO MAS FACIL, EVITO SALIR, EVITO LA COLA, POR EL APLICATIVO ES MAS FACIL PARA NOSOTROS LOS CLIENTES.
banca;PROMOTOR;PORQUE ES RAPIDO
banca;PROMOTOR;ES MAS FACIL POR BIM, AUNQUE LA VEZ PASADA SE BLOQUEO, COMO HERRAMIENTA ES MUY BUENA
banca;PROMOTOR;PORQUE ES MAS RAPIDO PAGAR POR BIM, PUEDO HACERLO DESDE EL CELULAR
banca;PROMOTOR;PORQUE PUEDO PAGAR DE MANERA DIRECTA, TODO BIEN.
banca;PROMOTOR;PORQUE ES MAS FACIL HACER LAS TRANSACCIONES POR BIM, EVITO IR A LA FINANCIERA, LO HAGO DESDE CASA, CLIENTE SUGIERE QUE SE AMPLIE EL MONTO PARA PAGAR, QUE NO HAYA LIMITE DE NOVECIENTOS NOVENTA Y NUEVE SOLES
banca;PROMOTOR;PORQUE ES MAS FACIL, MENOS RIESGO, MAS SEGURO, ES MAS ACCESIBLE
